N,phi0,phi1,Odrzucenia (n),Odrzucenia (c),Odrzucenia (ct)
20,0.0,-0.9,0.0%,47.4%,49.3%
20,0.0,-0.5,0.0%,48.4%,48.6%
20,0.0,-0.1,0.0%,48.6%,43.3%
20,0.0,0.0,0.0%,46.5%,39.9%
20,0.0,0.1,0.0%,45.0%,39.9%
20,0.0,0.5,0.0%,35.9%,32.5%
20,0.0,0.9,0.0%,28.3%,22.5%
20,1.0,-0.9,0.0%,50.0%,46.4%
20,1.0,-0.5,0.0%,47.6%,46.5%
20,1.0,-0.1,0.0%,46.6%,42.0%
20,1.0,0.0,0.0%,44.4%,42.0%
20,1.0,0.1,0.0%,44.3%,39.0%
20,1.0,0.5,0.0%,33.6%,27.3%
20,1.0,0.9,0.0%,25.7%,19.5%
20,5.0,-0.9,0.0%,50.2%,46.4%
20,5.0,-0.5,0.0%,50.6%,47.0%
20,5.0,-0.1,0.0%,45.1%,43.1%
20,5.0,0.0,0.0%,44.8%,42.2%
20,5.0,0.1,0.0%,45.5%,39.5%
20,5.0,0.5,0.0%,33.6%,30.2%
20,5.0,0.9,0.0%,23.9%,20.7%
20,10.0,-0.9,0.0%,48.4%,46.6%
20,10.0,-0.5,0.0%,52.4%,46.4%
20,10.0,-0.1,0.0%,47.7%,39.8%
20,10.0,0.0,0.0%,43.9%,39.5%
20,10.0,0.1,0.0%,48.6%,39.5%
20,10.0,0.5,0.0%,34.2%,27.9%
20,10.0,0.9,0.0%,25.4%,22.2%
100,0.0,-0.9,99.4%,98.4%,98.0%
100,0.0,-0.5,99.4%,98.5%,97.5%
100,0.0,-0.1,99.8%,98.5%,97.6%
100,0.0,0.0,99.6%,99.1%,98.7%
100,0.0,0.1,99.4%,98.0%,97.5%
100,0.0,0.5,99.3%,97.3%,96.1%
100,0.0,0.9,78.2%,36.6%,25.3%
100,1.0,-0.9,7.6%,99.2%,98.9%
100,1.0,-0.5,9.1%,98.6%,98.6%
100,1.0,-0.1,9.8%,98.8%,98.6%
100,1.0,0.0,7.0%,97.9%,97.9%
100,1.0,0.1,8.6%,98.6%,97.6%
100,1.0,0.5,9.2%,97.6%,96.0%
100,1.0,0.9,0.0%,37.6%,25.4%
100,5.0,-0.9,0.0%,99.1%,98.7%
100,5.0,-0.5,0.0%,98.9%,97.6%
100,5.0,-0.1,0.0%,98.2%,97.9%
100,5.0,0.0,0.0%,98.4%,97.6%
100,5.0,0.1,0.0%,98.7%,98.0%
100,5.0,0.5,0.0%,97.8%,96.4%
100,5.0,0.9,0.0%,37.4%,27.7%
100,10.0,-0.9,0.0%,98.6%,97.8%
100,10.0,-0.5,0.0%,99.1%,99.0%
100,10.0,-0.1,0.0%,99.1%,98.1%
100,10.0,0.0,0.0%,98.8%,98.1%
100,10.0,0.1,0.0%,98.0%,97.1%
100,10.0,0.5,0.0%,97.5%,96.2%
100,10.0,0.9,0.0%,35.1%,24.6%
500,0.0,-0.9,100.0%,100.0%,100.0%
500,0.0,-0.5,100.0%,100.0%,100.0%
500,0.0,-0.1,100.0%,100.0%,100.0%
500,0.0,0.0,100.0%,100.0%,100.0%
500,0.0,0.1,100.0%,100.0%,100.0%
500,0.0,0.5,100.0%,100.0%,100.0%
500,0.0,0.9,100.0%,100.0%,99.5%
500,1.0,-0.9,1.9%,100.0%,100.0%
500,1.0,-0.5,3.2%,100.0%,100.0%
500,1.0,-0.1,3.0%,100.0%,100.0%
500,1.0,0.0,1.9%,100.0%,100.0%
500,1.0,0.1,3.1%,100.0%,100.0%
500,1.0,0.5,1.7%,100.0%,100.0%
500,1.0,0.9,0.0%,99.7%,99.4%
500,5.0,-0.9,0.0%,100.0%,100.0%
500,5.0,-0.5,0.0%,100.0%,100.0%
500,5.0,-0.1,0.0%,100.0%,100.0%
500,5.0,0.0,0.0%,100.0%,100.0%
500,5.0,0.1,0.0%,100.0%,100.0%
500,5.0,0.5,0.0%,100.0%,100.0%
500,5.0,0.9,0.0%,99.8%,99.3%
500,10.0,-0.9,0.0%,100.0%,100.0%
500,10.0,-0.5,0.0%,100.0%,100.0%
500,10.0,-0.1,0.0%,100.0%,100.0%
500,10.0,0.0,0.0%,100.0%,100.0%
500,10.0,0.1,0.0%,100.0%,100.0%
500,10.0,0.5,0.0%,100.0%,100.0%
500,10.0,0.9,0.0%,99.9%,99.7%
